You didn't specify a land-sea mask. It's faster if you do,so this might take a while.
         28372578 function calls (28300302 primitive calls) in 300.900 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2   30.943   15.472  219.115  109.558 ehfheatwaves_compound_inputthres_3.py:604(split_hemispheres)
        4    1.493    0.373  160.456   40.114 ehfheatwaves_compound_inputthres_3.py:400(hw_aspects)
      640    0.027    0.000  128.535    0.201 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/multiprocessing/process.py:110(start)
      640    0.008    0.000  128.448    0.201 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/multiprocessing/context.py:222(_Popen)
      640    0.026    0.000  128.438    0.201 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/multiprocessing/context.py:274(_Popen)
      640    0.011    0.000  128.405    0.201 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/multiprocessing/popen_fork.py:15(__init__)
      640    0.035    0.000  128.378    0.201 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/multiprocessing/popen_fork.py:66(_launch)
      640  128.276    0.200  128.287    0.200 {built-in method posix.fork}
        1    0.028    0.028   26.866   26.866 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:4186(__truediv__)
        1   18.903   18.903   26.838   26.838 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:1152(__call__)
       36   25.205    0.700   25.205    0.700 {method 'reshape' of 'numpy.ndarray' objects}
    12675    0.012    0.000   16.306    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/multiprocessing/popen_fork.py:24(poll)
    12675   16.293    0.001   16.293    0.001 {built-in method posix.waitpid}
      640    0.001    0.000   16.270    0.025 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/multiprocessing/process.py:142(join)
      640    0.000    0.000   16.269    0.025 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/multiprocessing/popen_fork.py:40(wait)
   235062   12.108    0.000   15.257    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:3209(__getitem__)
      113   13.384    0.118   13.384    0.118 {method 'copy' of 'numpy.ndarray' objects}
244243/244209    8.353    0.000   11.899    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    7.411    7.411    7.411    7.411 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:844(__call__)
        9    0.000    0.000    7.126    0.792 <__array_function__ internals>:2(copyto)
   117536    0.484    0.000    6.658    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:3063(__array_wrap__)
        8    0.000    0.000    6.602    0.825 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/numeric.py:148(ones)
     9016    0.108    0.000    5.679    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/npyio.py:284(load)
        5    5.130    1.026    5.131    1.026 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:1005(__call__)
        1    0.000    0.000    5.130    5.130 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:4128(__add__)
     9016    0.065    0.000    4.971    0.001 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/format.py:695(read_array)
        2    1.799    0.900    4.267    2.133 ehfheatwaves_compound_inputthres_3.py:928(save_yearly)
       56    0.000    0.000    3.154    0.056 <__array_function__ internals>:2(save)
       56    0.001    0.000    3.154    0.056 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/npyio.py:458(save)
       56    0.001    0.000    3.152    0.056 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/format.py:623(write_array)
       56    3.135    0.056    3.135    0.056 {method 'tofile' of 'numpy.ndarray' objects}
   470169    0.699    0.000    3.113    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:2970(__array_finalize__)
     9016    0.127    0.000    3.021    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/format.py:570(_read_array_header)
     9074    2.985    0.000    2.985    0.000 {built-in method io.open}
   822769    1.809    0.000    2.929    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:2944(_update_from)
822774/822773    0.332    0.000    2.695    0.000 {method 'view' of 'numpy.ndarray' objects}
        2    2.650    1.325    2.650    1.325 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:4251(__isub__)
     9016    2.399    0.000    2.399    0.000 {built-in method posix.remove}
   117538    0.126    0.000    2.388    0.000 {built-in method _functools.reduce}
        2    2.273    1.136    2.273    1.136 {method 'close' of 'netCDF4._netCDF4.Dataset' objects}
   117536    0.786    0.000    2.262    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:1689(mask_or)
     9072    0.209    0.000    2.173    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/lib/format.py:535(_filter_header)
   117536    0.107    0.000    2.165    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:3081(<listcomp>)
   235072    0.297    0.000    2.058    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:1419(getmaskarray)
     9016    1.737    0.000    1.750    0.000 {built-in method numpy.fromfile}
   135622    1.575    0.000    1.575    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   181552    0.529    0.000    1.556    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/tokenize.py:429(_tokenize)
   117557    0.045    0.000    1.436    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/core/_methods.py:53(_any)
   117536    0.193    0.000    1.417    0.000 /projects/dgs/rh5_local/anaconda/climate/lib/python3.8/site-packages/numpy/ma/core.py:1550(make_mask)
